date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:07	10148/10148	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.eot	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:08	10148/10148	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.eot?	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italicd41d.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:08	9136/9136	---M--	200	added ('OK')	font/woff2	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.woff2	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.woff2	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:09	11912/11912	---M--	200	added ('OK')	font/woff	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.woff	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.woff	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:10	17128/17128	---M--	200	added ('OK')	font/ttf	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.ttf	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.ttf	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:11	58339/58339	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.svg	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-500italic.svg	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:11	10060/10060	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.eot	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:11	10060/10060	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.eot?	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italicd41d.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:12	9056/9056	---M--	200	added ('OK')	font/woff2	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.woff2	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.woff2	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:12	11844/11844	---M--	200	added ('OK')	font/woff	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.woff	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.woff	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:13	17056/17056	---M--	200	added ('OK')	font/ttf	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.ttf	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.ttf	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:14	58279/58279	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.svg	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600italic.svg	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:15	8638/8638	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.eot	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:15	7812/7812	---M--	200	added ('OK')	font/woff2	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.woff2	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.woff2	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
12:25:16	8638/8638	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600.eot?	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/fonts/poppins/poppins-v5-latin-600d41d.eot	(from http://esensifiksi.com/tf/marmozet/assets/css/main.css)
